gene,observed_dNdS,expected_dNdS,p_value
CD48,2.0,2.454163696750081,0.7718863900606157
DDX20,2.0,2.1740811002451075,0.9060177534247463
CCNG1,2.0,3.4318120462170483,0.43958055623009185
ZNF681,4.0,3.73789182096686,0.8921603313079605
TMEM167A,2.0,2.9362747965702383,0.5847959441880255
MYOZ2,2.0,3.523163878288873,0.41708751125246657
CMTM1,3.0,3.2333710700875025,0.8967377739881309
PLBD2,2.0,2.06381837861771,0.964567053570403
RNPEPL1,2.0,2.027360720506614,0.9846688281943463
EAF1,1.0,3.20984785255167,0.21740940217880136
BRDT,6.0,3.907992501438676,0.28994359293957583
TOMM40L,1.0,2.481966571174288,0.34687050011068765
ENTPD6,0.0,2.2955706362104444,0.12974351987157842
CLN8,2.0,2.4558293124067987,0.7711485799426715
GLI1,1.25,2.7542980824475087,0.364714747640676
OR2T5,2.0,2.27846689817336,0.8536359407474219
DGAT1,1.0,2.129019030391206,0.43906723463424946
C17orf58,0.0,2.4945063444356546,0.11424419337271
HEATR4,7.0,2.7089122752411607,0.009129310613180293
LILRB3,1.0,2.367901766826147,0.37403464351647286
PPP1R10,1.5,3.036506994111064,0.3779098959766487
SSTR1,3.0,1.9695637335004577,0.46280446120960705
HNMT,5.0,3.3780982342625485,0.3775353723212377
PCGF1,3.0,2.497593839107992,0.7505588373423341
PCSK5,1.5,2.959642310157641,0.39618678052465095
MYOCD,3.0,2.7665264565125933,0.8883686910777253
BOLL,3.0,3.851896341364821,0.6642450953335859
CRYBB1,1.0,2.455898563765122,0.3528777887871821
GNAT3,1.0,3.455574306440424,0.1865113595008155
FAM222A,2.0,2.08314485102246,0.9540616351074868
FAM21C,4.0,3.1476490111416253,0.6309254405964689
CRP,5.0,2.5225200343361567,0.11878684141320342
PAK6,4.0,2.206635835492485,0.22732952309399496
UCHL3,2.0,3.7099611535535866,0.37466327553734535
PRSS16,2.0,2.636513462269308,0.6950538589221714
STK38L,2.0,3.487033936552215,0.4258405557177436
COL15A1,3.5,2.8642298370606194,0.7071688709600801
FABP7,2.0,3.250261946741769,0.4880004679582991
NUDT10,2.0,2.2198857165315578,0.882673112240198
ZFYVE19,4.0,2.677311021634628,0.418879615451361
ADPRH,3.0,2.9657545777056,0.9841347704060931
ZC3H15,3.0,3.773197004968547,0.6905948198509301
NEK5,14.0,3.1498729026669423,9.748318854994416e-10
CEACAM20,4.0,,
ACADSB,3.0,3.190112768328185,0.9152325963371609
HCN1,2.2222222222222223,2.6472014103547026,0.7939378156562356
GPR101,6.0,2.2739404055223265,0.013476259119049525
FILIP1,6.0,3.061914069049916,0.09313901069445005
HERC4,0.5,3.5076068918473804,0.10829822716636592
AATK,3.0,2.1389510441746524,0.5560321729630624
SIRT3,2.0,2.3387195404429173,0.8247120909818643
DSTN,0.0,3.854538802784869,0.04961156463931045
GSTA4,0.0,2.8570036489566126,0.09097682221411872
MAP4,0.6666666666666666,2.9924936697331668,0.17878677477197752
HAUS3,1.0,3.597401102476335,0.1708602217593676
MAGEB4,0.3333333333333333,2.705457763649832,0.14925383146810753
LILRA3,1.0,2.236727106123764,0.4082782155750807
PPP1R14B,0.0,2.152101995207905,0.14237485047545007
DHRS4,3.0,2.176973197033061,0.5769731316155547
CDADC1,5.0,3.3022970203120856,0.35018544650380357
PHIP,12.0,3.825767586545567,2.9260398963568584e-05
CNIH3,0.0,2.4630884043062653,0.11654941931242482
TGFBRAP1,4.0,2.286575230313749,0.2571678200686353
PFDN4,2.0,3.630112172388645,0.39223357695089267
UBD,1.0,2.5522173942368647,0.33124267091815646
KIAA2013,2.0,1.9185723194640405,0.9531215820276501
SLC9A2,1.0,2.544442949615637,0.3329328808055151
ZC3HAV1L,3.0,2.361242389939533,0.6776395042873407
CETN2,2.0,3.1072280342051752,0.5299178592203984
NDUFA6-AS1,6.0,,
ABRACL,1.0,3.222671950999378,0.21566672798823575
TUBA3C,6.0,2.169083619365084,0.009291323355045854
CKAP2L,2.0,3.3530741130360933,0.4599529037755633
RFC2,4.0,2.480243778371405,0.33454544370717937
ABCA4,1.5,2.469493479341911,0.537276155857054
NRDE2,2.0,2.829701354737513,0.6218484668479967
TUBA1A,0.0,2.644230057773041,0.1039264974005782
OR4X2,1.5,2.33581458569414,0.5844622828974153
PFN2,3.0,2.851909555937335,0.9301216088399982
CYLC1,2.0,3.966918097530406,0.32337245344202675
C20orf27,3.0,2.3094570559613428,0.6495428920744633
ADAM32,2.5,3.7831720953813615,0.509436252387874
FANCL,3.0,3.5321351626014046,0.7770684843058725
LAMTOR3,2.0,3.191430150319112,0.5048211036563923
P2RY2,3.0,1.935262126003768,0.4440498158444254
MSL2,5.0,3.247159442508668,0.33068940802724694
ATP11C,3.0,3.3277372496854127,0.8574195317193638
ZCCHC13,2.0,3.1014173456668,0.5316954005916463
CADM3,3.0,2.419512055270352,0.7090074783256327
C17orf97,3.0,2.3068488433220544,0.6481229562104505
TDRP,3.0,2.6605428964428013,0.8351405277907655
SERPINB2,2.0,2.981780958469171,0.5696543912101599
TSC22D2,4.0,2.612061251473336,0.39046550400407587
PLAU,1.5,2.638537308904389,0.4833557679999704
TRIT1,3.0,2.944457426839849,0.9741781361981733
FAM126B,6.0,3.2190985631427327,0.12115285693707606
UBA5,2.0,4.030771445284638,0.3117759840529859
WDR62,2.0,2.3670103772741213,0.8114550331498774
CMTM3,1.0,2.190677591609656,0.42113083457350575
EXOC2,3.0,2.953158107363428,0.9782541008466998
GDF15,2.0,2.0574583488392237,0.9680470071345756
MPRIP,0.75,2.8147118510483438,0.21844539480908842
WARS2,7.0,2.8017201511045826,0.012135422169058245
AQP1,1.0,2.0373928184889607,0.46735777967893344
ZIC5,1.0,2.273916567082361,0.398222712882769
MYO7A,2.0,2.122459467475073,0.9330113006820157
CGB2,3.0,2.017607039924366,0.48917659283479
KLHL20,2.0,3.318603596037068,0.46917012230480226
SPNS3,5.0,2.073034869257323,0.04206346465150699
AGR3,2.0,3.723766012834167,0.3717077839421219
MEST,4.0,2.656258039310947,0.40966620351745187
MYF5,2.5,2.5052989223557445,0.9973288576660636
MME,7.0,3.361375109633649,0.04718603663856504
ARL11,2.0,2.2085966435265787,0.8883740914287741
SPATA1,3.0,,
ZC3HAV1,0.6666666666666666,2.7746029763776563,0.20569746046526893
HEXIM2,4.0,2.4783305228327888,0.3337507956987476
KCNK18,1.5,2.4266472664540526,0.5519403936670071
TMPRSS11F,4.0,3.9102112248978944,0.9637829741770852
NPDC1,0.0,2.277086581400479,0.1312983101754278
LRRC37A3,7.0,2.8791060560986392,0.015155698225014433
PYROXD2,2.0,2.344454604440912,0.8220080640246197
LGALSL,2.0,2.9921901804680675,0.5662463917897831
CDH7,8.5,2.9034191514574177,0.0010216720750989702
HSPA8,3.0,3.156461874491517,0.9298242219912154
MFN1,2.6666666666666665,3.4584358449876182,0.6702871141776217
HRSP12,2.0,3.184976973042587,0.506701385022678
RAB6C-AS1,2.0,,
LMTK3,6.0,2.166438537725754,0.009200055939022834
ADAT1,2.0,3.000284776033792,0.5636103314545637
CHGA,1.0,2.510236778941869,0.3404846719529676
DUSP18,4.0,2.476468983561297,0.33297814031442907
HOXC9,0.5,2.231347594456384,0.24643745605666229
C1orf43,3.0,2.502421124432335,0.7531077221247355
ZNF554,2.0,2.902795872877856,0.5961919282924837
SHF,1.0,2.5171953145846158,0.3389330574306363
ALPPL2,7.0,2.1151604071228363,0.0007829373195982917
SF3A1,1.0,2.645715517228571,0.31164648419370033
PPIP5K2,6.0,3.835982983066167,0.26920362581065227
RGPD4,4.0,3.735868149210639,0.8913036303920631
PPP1R3C,1.0,3.0544568800755965,0.23978673102156559
HPGDS,0.0,3.4328575466853497,0.06391142853767962
FAM8A1,3.0,2.58207694283367,0.7947998541381049
TSN,2.0,2.6763212468913973,0.6793042043266803
TRIM60,4.0,3.2958655969356188,0.6981224007097079
SHROOM2,4.0,2.3577411118786,0.2848302617686815
KRT12,4.0,2.492524397808535,0.3396586392645237
BMF,0.0,2.788080319987076,0.09496793235460645
CXADR,3.0,3.273104186792561,0.8800109558614494
PHF7,1.0,3.3459842964347746,0.19966132353944724
NPBWR2,1.5,1.762434267058773,0.8432949594389538
ZCCHC24,4.0,2.102060736703577,0.19051389717479117
CHCHD1,2.0,2.507825449179633,0.7484562999445983
CLDN6,4.0,1.935439118401509,0.13780526189802184
CFHR3,3.0,3.983532580636112,0.6221668483054279
ASB16,2.0,2.1434883760764984,0.921926903641063
ASXL3,13.5,3.379785367703078,3.69491416097095e-08
LMNB2,2.0,2.017088127995872,0.9904002121632652
TMPPE,3.0,2.3437345189844896,0.668161770596397
TNPO1,4.0,3.5331995905322,0.8038711465252311
ZBTB11,5.0,3.56017644712021,0.4454120811632504
RAPGEF6,8.0,3.5931243981879746,0.020080060407837927
FAM65A,1.5,2.3468226768839284,0.580414047915643
MYCBPAP,6.0,2.533225638642054,0.029394552309336373
KDM4E,3.0,2.970508604124333,0.9863479210716898
ASCL1,1.3333333333333333,2.214065433499304,0.5539173168700613
SCAMP3,6.0,2.5442451580558725,0.030271189816621028
HCAR3,3.0,2.201973947775718,0.5907235252106074
PPM1G,0.5,2.883714779097508,0.16040450735579587
ATP6V0E1,2.0,2.4491691589232656,0.7741028876036814
EIF3M,3.0,2.8645265988071524,0.9362024340424985
KHSRP,3.0,2.722500672259208,0.86644058104489
SLC19A2,4.0,2.4951823438762526,0.3407681439464872
MTX1,0.0,2.268592614751827,0.1320197434659194
DDX53,4.0,3.6770213576364137,0.8662430927787323
BORA,3.0,3.901665531262062,0.64804583564665
TOP3B,4.0,2.25054829048336,0.2435501413115394
NRG1,4.0,2.8935710969370003,0.5154088278024569
NAMPT,5.0,3.431172652158764,0.39702723832330467
SLC22A15,0.5,2.463311888873978,0.2109636044011887
RPS27A,1.0,2.976965087458834,0.2518742996579036
KCNH8,2.333333333333333,2.877832873544695,0.7482329628515039
NAPA,1.0,2.3917933302275323,0.36815287635614224
FOXD2,2.0,2.1653416998736104,0.9105364420069849
DCDC2,2.0,3.973244004001563,0.32220422606246535
APLP1,3.0,2.4005393669566333,0.6988252799437742
ZSCAN5A,2.5,2.670898109888312,0.9167167357882492
MLLT10,6.0,3.2607315695466497,0.1292741913857674
GYPA,4.0,3.581145966459669,0.8248309665286864
DDX52,5.0,3.474616308485826,0.4131717928853129
PANX2,4.0,1.831881584463221,0.10917862311535288
UMODL1,0.4,2.259737358860866,0.21603111131350952
DDX23,1.0,2.7440713425725307,0.29240969440311826
DNAH5,3.65,2.913732735681506,0.6662277399264223
NTRK3,3.0,2.377344500667961,0.6863355532397322
TMPRSS3,4.0,2.474225023587687,0.33204743151501315
OR5B2,0.5,2.448529676406959,0.2130421991231422
MYL6B,3.0,2.329796198976661,0.6606004460753955
SPACA3,1.0,2.4868798219709816,0.3457511210812887
NCOR1,13.0,3.3355588338333506,1.212069457375099e-07
ZNF428,2.0,2.793635368173822,0.6349097041285883
OXTR,1.0,1.877933972790092,0.5217492770025984
NOSTRIN,2.5,3.2641496191967545,0.6723286555439275
RP4-806M20.3,2.0,,
TMEM190,2.0,2.24069051417018,0.8722561766067518
SPATA31A6,4.5,2.928411998712412,0.35841973821689543
MRPS30,7.0,2.800185129783467,0.012080418430216271
CUL4B,7.0,3.4332307191087983,0.05423335707952296
ZNF232,3.0,3.271871272328849,0.8805262306976127
NRG2,5.0,2.172640523219417,0.055089460536642085
OBFC1,3.0,2.7659088365869544,0.8880629156827666
RP1L1,3.5,2.6890436183917443,0.6209271574172934
CCP110,7.0,4.027862694550877,0.13862794572954662
NUP98,2.0,3.1901795600833647,0.505184941339573
PCCA,9.0,3.2098247192785587,0.0012299205907398527
THEM5,5.0,2.6249267942491263,0.14266260381603224
EPO,2.0,2.1055551950149223,0.9420099517527784
BTN3A2,6.0,2.035085740903261,0.005446865691152744
TMEM110,1.0,2.2246813867097663,0.4115966814559312
IL1RL2,3.0,2.7849987294196263,0.8974894628816891
OR10A3,4.0,2.497113485303224,0.3415748843626031
PKMYT1,2.0,2.248923048097899,0.8681660567421332
ZBTB43,2.0,3.0318017232343486,0.5534633070149962
LCE3A,0.0,3.1803181122903017,0.07453021861643928
MIR124-2,3.0,,
SOX1,2.0,2.0870690729822683,0.9519412230569608
CCDC176,1.0,3.2916116204768167,0.2065543024102631
KRTAP4-2,3.0,2.723812719122809,0.8670978975968392
EPB41L2,9.0,2.974934558371797,0.0004772745394082387
OR10H2,1.0,1.899169398685812,0.5140988741699658
SMG1,3.0,3.2594112683041856,0.8857471725326003
PTX4,5.0,2.099298393838307,0.04528379175585724
ESYT1,2.5,2.449975245146572,0.974504105467106
AKR1D1,3.0,2.867852159207328,0.9378013185733153
TFCP2,2.0,3.2641748292540567,0.48410606268285217
C9orf66,3.0,2.333530436732566,0.6626275557173896
ZG16B,2.0,2.3664891538900177,0.8116974277813241
SMU1,2.0,3.136890838591563,0.5209364940048706
ATAD3C,0.0,2.0989038625860377,0.14740477948060376
IGHV1-24,2.0,,
HIST1H4J,1.0,1.925071148973515,0.50494289925459
CTBP2,1.3333333333333333,2.344669264482319,0.5089507555437136
ADAMTS3,8.5,3.417165108806326,0.005966401683345395
OR7A5,6.0,2.456157783830299,0.02374453252647416
ZNF395,2.0,2.506548530229477,0.7490057389372712
ZNF76,3.0,2.4603570198549622,0.730817081955357
DCP1A,1.0,2.8279130153969283,0.2770445994535676
ERICH1,2.0,2.9035859589024904,0.5959204502642175
GDPD1,2.0,3.000333347537746,0.5635945509903935
PEX13,1.0,3.18920844703566,0.220246276759094
TCF7L1,2.0,2.28807433486009,0.848960462737574
FOXL2,0.0,2.248862255168554,0.133712681562477
YTHDC2,4.5,3.715791761443717,0.6841378423294777
IARS2,4.0,3.587129783713246,0.8274355581819653
MAP3K8,1.0,2.9467872754415776,0.25676053815834476
SLC26A2,5.0,3.099083484860992,0.28022783715838306
THAP5,5.0,3.918099064556539,0.5846707253615908
STX1A,8.0,2.290015500636951,0.00016113390519680653
NCOA5,3.0,2.970183018373023,0.9861964603100132
MTMR8,10.0,2.8378844257449907,2.123269013666233e-05
CRISPLD2,1.0,2.479468010462328,0.3474412980510936
IFIT1B,3.0,2.990881384635652,0.9957930499913461
GSS,0.3333333333333333,2.331781340058542,0.19062696476155494
ATRN,4.0,2.9793701088411395,0.5543210930673688
KIR3DL2,8.0,2.6403387495570017,0.0009722647394364588
CCL4L1,3.0,2.422745461605757,0.7107396036158415
IMPDH1,1.0,2.181692789523268,0.4236917993045024
MAGEF1,2.0,2.34957998063006,0.8195986500067558
SESN1,3.0,3.788649022600751,0.6853496060003558
HBB,1.0,2.180569813854454,0.42401312835026106
WHSC1,9.0,2.847157889216242,0.00026589051242560647
SUSD1,1.0,2.8051245695935942,0.2811308601239779
H3F3C,2.0,2.199026162743151,0.8932340516948717
SCFD1,2.0,3.7866682238084968,0.35853851816974514
PSG5,3.0,2.736841145280203,0.8736123064835776
ALX4,1.5,2.365899958282061,0.5734691902714995
WDSUB1,4.0,3.418981470789698,0.7533496759945874
VASH2,4.0,2.4427312824434675,0.3190647545334381
MCF2,4.5,3.519449101540766,0.6011995424884187
RPP40,4.0,3.0036748209637207,0.5653747408416119
TTBK1,2.5,2.224354927447802,0.8533704792804602
ZNF852,2.0,3.3800204027443126,0.45287543543155884
ZNF513,2.5,2.58015217488462,0.9602028001745911
NFATC1,3.0,2.1177829103273798,0.5443645156060353
BHLHE40,2.0,2.5328771848140628,0.7377558311690768
CARS,4.0,2.5657436774390048,0.37056994113879627
PACS2,6.0,2.1505874812512555,0.008666959615931173
SLC35E3,3.0,2.325435698615158,0.658232155676115
CABLES2,3.0,2.019856096380253,0.4904134293685236
DUPD1,2.0,2.1262313784862745,0.9310141612539954
DSCR3,6.0,2.3043680992399795,0.014911686639477844
HSPB8,2.0,2.607839717267148,0.7066201826347828
CACTIN,1.0,2.170945544096547,0.42677842849205516
IGF1,2.0,2.537590010393556,0.7357595250747766
XIAP,4.0,4.064420490544473,0.9745087653053103
POLR3C,2.0,2.941994875293249,0.5828707593812904
PNLIPRP1,3.0,2.780549119130454,0.8952968136256931
MIR518A1,2.0,,
PURB,4.0,2.119998156884491,0.19663741068537754
KRTAP19-7,2.0,2.902969971242802,0.5961320965067272
KIAA1147,2.0,2.312170641447375,0.8373402678488235
FAM134A,3.0,2.3217785278886973,0.6562448628381469
SAV1,2.0,3.844909051433656,0.34676892396412684
SYNJ1,2.6666666666666665,3.5717306416137453,0.6320136214838314
TFDP3,4.0,2.5945122208418057,0.3828986639338313
AP1B1,3.0,2.098168222694853,0.5335509304726205
LPCAT1,0.5,2.252319571165516,0.242963571782166
PPFIA2,3.142857142857143,3.53971284404356,0.8329380074128606
LRRFIP1,6.0,2.775907153961246,0.05297711864185939
RANBP2,1.5714285714285714,3.9378749027472506,0.23305738069957457
CCNT1,4.0,3.2480613813700696,0.6765138737985283
RSPO4,1.0,2.3003054376739387,0.39125751100653405
ACOT4,1.0,2.4147212049368307,0.36260594379972255
IL17RC,2.0,2.228069909791785,0.8785614831653956
EIF3F,4.0,2.560197906974917,0.36820459157449614
CTC-457E21.3,2.0,,
C5orf38,5.0,2.08853902777879,0.04394616615025812
FAM180A,2.0,2.091497331727253,0.9495535997695576
GBP7,2.5,2.793578562945953,0.8605702718556452
DSN1,1.0,3.272149407023244,0.20908379792198906
HIST1H4K,4.0,1.925071148973515,0.13478992745881355
SPANXN5,2.0,3.025608356266301,0.5554427191119662
SNX24,3.0,2.8918842251511427,0.9493072112011162
ZCCHC17,1.0,3.3268223369478207,0.20206172948593626
TPST2,2.0,1.953378740083184,0.9733896672953991
ZNF157,4.0,3.4409087474100915,0.7631079747139323
ALDH5A1,1.0,2.5255278675750854,0.3370854418044753
KPNA1,5.0,3.2152243272351217,0.3195636414193723
FBXW12,2.0,2.94722011117864,0.5811176611604603
KCNA10,4.0,2.40556207297899,0.3039429044691385
FCRL5,3.5,2.518430072638916,0.536230226237339
ORC4,2.0,3.698128344916959,0.3772155994890526
C11orf63,3.0,3.0397674301772457,0.9818025827095863
TRMT6,0.0,3.2338825008196284,0.07212949689083609
HDAC11,4.0,2.6776251776612017,0.4190174082699042
CD247,3.0,2.407945387886757,0.7028036540055702
MRGPRE,0.0,1.795336770898221,0.18027728045545702
RREB1,1.0,2.309533423190577,0.38885440728887277
CUEDC2,1.0,2.424037341779861,0.360378955425366
AACSP1,2.0,,
GPR85,0.0,2.641510197259492,0.10410454122055449
CACNA1E,2.142857142857143,2.3716286340465893,0.8819071356331504
ITGA3,5.0,2.198646248648117,0.058857846112789394
ZC3H3,4.0,2.2725988066366414,0.2518527906187031
NPVF,3.0,3.2583235036501965,0.8862041297192809
CHAF1A,4.0,2.4640759675879917,0.3278472963866313
MTMR2,2.0,3.4877715289578406,0.42566001109673146
MLNR,2.0,1.8753027043505912,0.9274459656862517
MFSD2A,1.3333333333333333,2.204211377573705,0.5574826691660086
AHCTF1,5.0,3.634381219724494,0.47378648572963133
ZNF230,0.5,3.434694224516713,0.11330692408095407
SPIRE1,0.5,2.734199264926095,0.1766441413212413
CTSL,0.0,3.241847951654715,0.07177963383152725
TMEM55B,2.0,2.627215233326329,0.6987840422108871
SLC35F1,1.75,2.227867416684956,0.7488494596077054
MOB1B,3.0,3.5887278318980083,0.7559726388215978
ENPP1,4.5,3.245282912512188,0.4861173534224891
NAT8,4.0,2.367148591297314,0.2885583143915472
LRRC8D,1.0,2.962886244628128,0.2541410879256161
GNL2,4.0,3.297991326969464,0.6990814413088837
LRTOMT,6.0,2.218273019468729,0.011113272482351616
DIS3L,3.0,3.09784327148272,0.955667964977909
MTMR10,2.0,3.083621084786228,0.5371768310131114
CSMD1,2.1538461538461537,2.7721897836791136,0.7103545836251446
PRMT5,5.0,2.6902662594440576,0.15907190796861048
RNF169,2.0,2.690623888444566,0.6737317189830814
C6orf136,3.0,2.382866370313994,0.6893129310245343
RAB3A,3.0,2.3430300673367963,0.6677799485666829
CAPN13,3.0,2.6207122159756926,0.8147575720610031
POLR2M,3.0,3.0652913032082405,0.9702519249842354
PTPN4,6.0,3.713014031788419,0.23528208035190554
PPP1R2P1,2.0,,
FFAR4,0.0,1.937036955643963,0.1639906183024492
PDC,2.0,3.644663046727808,0.3889704081713051
C5,8.0,3.274822011114284,0.009025020231098746
NEGR1,3.0,2.9105229068945064,0.9581719761507075
HYAL4,1.0,3.3804925575248688,0.19541583062582896
PSME3,3.0,2.584143603195852,0.7958719430912751
TRMT10C,3.0,3.6122988308730233,0.7473314978973402
KRT13,2.0,2.390130788582661,0.800772302802289
TBK1,3.0,3.816369596323712,0.6760278047252282
MOCS3,2.0,2.1649274166073846,0.9107511628638186
SPRY1,2.0,3.026404626783026,0.5551878321456526
CPO,3.0,3.0428610248558385,0.9803972114037112
ELAVL3,4.0,2.030276062163809,0.1668546885003797
AMDHD2,1.0,2.014789443439562,0.47465475407538715
CDH18,4.666666666666667,3.1737982236794533,0.40204385654005315
DNASE2B,2.0,3.154507181171763,0.5156752818359205
MPPED1,1.5,2.104114831649581,0.677065374154299
CD46,3.0,3.746725233809771,0.699662769155449
MUC6,8.0,2.278385957344288,0.00015029990548036664
HRCT1,2.0,2.322732144001222,0.8322947593729695
PAQR6,5.0,2.0608445751102207,0.040620105721645025
FAM27L,4.0,,
TCF3,2.0,2.197593317412622,0.8939637878601737
EXD3,4.0,2.026628661746953,0.16568990327457112
TRPV5,3.5,2.277300406247288,0.4178066191349209
KLK13,3.0,3.294254394637227,0.871209065211322
ZMYND12,2.0,2.5893504654845567,0.7141781707911353
DAXX,0.3333333333333333,2.614366034397736,0.15832001308810756
RGS9,4.0,2.461611021810878,0.32682951411596306
UBAP1,3.0,2.8029086291433445,0.9062867514407774
SCN3B,3.0,2.224549865493679,0.6031224399727021
NBPF9,1.5,3.020185364056672,0.3817145558892493
COL4A4,2.75,3.5840037505188262,0.6595472024269158
OCA2,3.0,2.3386622353646427,0.6654117290405245
IPO13,1.6666666666666667,2.2844307386147764,0.6827397949598155
CCDC172,2.0,3.795367080080021,0.3567550876986013
NEDD4,6.0,3.715981218043954,0.23607725259938867
STARD8,1.0,2.942108745784709,0.25752731283904745
ZNF876P,2.0,,
PFN1,2.0,2.15208567173323,0.9174302073815728
ASMTL,3.0,2.1945009863345,0.5866153703825272
ALS2,1.3333333333333333,3.1272732117316657,0.3103743983609254
ZNF296,0.0,2.357867734778483,0.12465246675926404
ACSS1,2.5,2.332572855175509,0.9127070520516697
GABRR1,5.0,2.5444396036282244,0.12370402353930993
BMP3,4.0,2.810417180352832,0.47795659730657125
CXCR3,0.0,1.944398405394856,0.1631917568974089
ARSB,2.0,2.543748701394795,0.7331586956735486
LRRC14,3.0,2.069120660274568,0.5175391807537207
C1QTNF4,0.0,1.9299051276291128,0.16476882478115754
RP11-50E11.3,6.0,,
IGHV3-30,2.0,,
NSL1,4.0,3.2743273465848395,0.6883961009287514
RFC3,3.0,3.206871366310537,0.9080324560355805
ZNF91,5.0,2.8019623947625094,0.18914297286187676
SMCHD1,6.0,3.902803349901513,0.2884285144103322
TG,2.25,2.155969753153382,0.948938973087031
KCNMB1,0.5,2.002975272545504,0.2882473139538944
DEFB129,3.0,3.2115224533114386,0.9060420384392852
SMAD5,2.0,3.573949991479373,0.40509167977322735
HCRTR2,7.0,2.681746008243448,0.00836589545213122
ITGA11,1.0,2.197809024119848,0.4191106703737695
UGT3A2,1.0,2.811016046968759,0.28006811849058255
BLOC1S1,2.0,2.396260650247432,0.7979626918767455
TYK2,0.8,2.1209374916037107,0.36439459896121007
PADI2,3.0,2.1083428510999878,0.5391602914285476
FURIN,1.0,2.2118829804773577,0.41515608946780047
CAPN12,4.0,2.077340016661056,0.18221103997384647
SHROOM1,2.0,2.3748641719304584,0.80781099890961
PCYT1A,2.0,2.80298981358374,0.6314960581979199
USHBP1,1.0,2.5008267465510268,0.3425955555243623
TMEM39A,0.3333333333333333,3.0624476569493444,0.11887637552071643
SOST,3.0,2.0971601100027724,0.532995153499199
RHOH,1.0,2.17481272580252,0.4256648277168763
ZBTB25,3.0,3.088103520193362,0.9600142277493149
STOML1,2.0,2.068197067758468,0.9621777762591248
TMEM133,2.0,2.6974478923294822,0.6710889110065072
GUK1,2.0,2.0095654968260352,0.9946161467331118
FRMD4A,3.0,2.4037932378151,0.700573779396165
FAAH,3.0,2.09293314404974,0.5306648379999389
IVD,6.0,2.3406375464468363,0.01676258429202054
NIFK,2.0,3.183836240448029,0.5070344974628176
DOK3,1.0,2.3169461074074222,0.3869361030028565
KLRF1,3.0,2.763325194678231,0.8867832145530292
LRP6,15.0,3.3668978766790514,2.2995440850270175e-10
HIPK2,1.5,2.4016211534237955,0.5607030958264523
DKK1,3.0,2.8136660482137827,0.9115488824940061
GSPT2,7.0,3.084382602621381,0.025777704018795634
ZNF727,2.0,3.5592311003071764,0.4085318088345703
SLC16A14,5.0,2.44630495611198,0.10252629853363945
FASTK,3.0,2.103490805381845,0.5364853166861561
ABCC4,1.0,2.8319414008917416,0.27632908233303327
SLC7A9,1.0,2.1351588011652427,0.4372426714444654
PGM5,7.0,2.6327191053628782,0.007111236486451104
TINAGL1,2.0,2.520450336400636,0.7430450387601939
BRCA2,5.666666666666667,3.8957350430633806,0.3695925618973862
PLCL2,4.5,3.2014680875387147,0.46800127143070214
SP6,1.0,2.2773644794479977,0.397304739414051
WAS,0.5,2.752572414302279,0.1745533724863976
TMEM194A,0.5,2.8133235656069284,0.16783379163878942
TUBB,2.0,2.543167686193589,0.733403676456241
EIF2A,3.0,3.6284487360307702,0.7414599990539191
