query,_id,_score,genomic_pos,notfound,length
BAZ2A,11176,17.760914,"{'chr': '12', 'end': 56636816, 'ensemblgene': 'ENSG00000076108', 'start': 56595596, 'strand': -1}",,41220.0
USP5,8078,17.055239,"{'chr': '12', 'end': 6866632, 'ensemblgene': 'ENSG00000111667', 'start': 6852148, 'strand': 1}",,14484.0
ZDHHC20,253832,18.177084,"{'chr': '13', 'end': 21459370, 'ensemblgene': 'ENSG00000180776', 'start': 21348784, 'strand': -1}",,110586.0
AKAP11,11215,17.609465,"{'chr': '13', 'end': 42323261, 'ensemblgene': 'ENSG00000023516', 'start': 42272152, 'strand': 1}",,51109.0
JAG2,3714,18.22053,"{'chr': '14', 'end': 105168824, 'ensemblgene': 'ENSG00000184916', 'start': 105140982, 'strand': -1}",,27842.0
EDDM3A,10876,23.225615,"{'chr': '14', 'end': 20748380, 'ensemblgene': 'ENSG00000181562', 'start': 20745887, 'strand': 1}",,2493.0
DCAF4,26094,18.328032,"{'chr': '14', 'end': 72959703, 'ensemblgene': 'ENSG00000119599', 'start': 72926377, 'strand': 1}",,33326.0
CERS3,204219,18.236347,"{'chr': '15', 'end': 100544995, 'ensemblgene': 'ENSG00000154227', 'start': 100400395, 'strand': -1}",,144600.0
TMEM87A,25963,18.12888,"{'chr': '15', 'end': 42273534, 'ensemblgene': 'ENSG00000103978', 'start': 42210447, 'strand': -1}",,63087.0
SHC4,399694,18.134823,"{'chr': '15', 'end': 48963919, 'ensemblgene': 'ENSG00000185634', 'start': 48823741, 'strand': -1}",,140178.0
PRTG,283659,18.111181,"{'chr': '15', 'end': 55743152, 'ensemblgene': 'ENSG00000166450', 'start': 55611544, 'strand': -1}",,131608.0
ADAM10,102,18.189373,"{'chr': '15', 'end': 58749791, 'ensemblgene': 'ENSG00000137845', 'start': 58588809, 'strand': -1}",,160982.0
RNF111,54778,17.603113,"{'chr': '15', 'end': 59097419, 'ensemblgene': 'ENSG00000157450', 'start': 58865175, 'strand': 1}",,232244.0
MYO9A,4649,18.122957,"{'chr': '15', 'end': 72118577, 'ensemblgene': 'ENSG00000066933', 'start': 71822291, 'strand': -1}",,296286.0
IL16,3603,17.645964,"{'chr': '15', 'end': 81314058, 'ensemblgene': 'ENSG00000172349', 'start': 81159575, 'strand': 1}",,154483.0
HAPLN3,145864,17.712543,"{'chr': '15', 'end': 88895597, 'ensemblgene': 'ENSG00000140511', 'start': 88877294, 'strand': -1}",,18303.0
MESP2,145873,19.268387,"{'chr': '15', 'end': 89778754, 'ensemblgene': 'ENSG00000188095', 'start': 89760591, 'strand': 1}",,18163.0
PRC1,9055,18.217384,"{'chr': '15', 'end': 90995629, 'ensemblgene': 'ENSG00000198901', 'start': 90966040, 'strand': -1}",,29589.0
SSTR5,6755,18.204874,"{'chr': '16', 'end': 1081454, 'ensemblgene': 'ENSG00000162009', 'start': 1063867, 'strand': 1}",,17587.0
SMG1,23049,17.508835,"{'chr': '16', 'end': 18926408, 'ensemblgene': 'ENSG00000157106', 'start': 18804860, 'strand': -1}",,121548.0
PLEKHG4,25894,17.779745,"{'chr': '16', 'end': 67289499, 'ensemblgene': 'ENSG00000196155', 'start': 67277510, 'strand': 1}",,11989.0
RANBP10,57610,17.652494,"{'chr': '16', 'end': 67806560, 'ensemblgene': 'ENSG00000141084', 'start': 67723070, 'strand': -1}",,83490.0
WWOX,51741,17.10041,"{'chr': '16', 'end': 79212667, 'ensemblgene': 'ENSG00000186153', 'start': 78099400, 'strand': 1}",,1113267.0
NUFIP2,57532,17.563475,"{'chr': '17', 'end': 29294148, 'ensemblgene': 'ENSG00000108256', 'start': 29255839, 'strand': -1}",,38309.0
PEX12,5193,16.981348,"{'chr': '17', 'end': 35578863, 'ensemblgene': 'ENSG00000108733', 'start': 35574795, 'strand': -1}",,4068.0
LASP1,3927,17.719362,"{'chr': '17', 'end': 38921770, 'ensemblgene': 'ENSG00000002834', 'start': 38869859, 'strand': 1}",,51911.0
KRTAP1-3,81850,23.684826,"[{'chr': '17', 'end': 41034874, 'ensemblgene': 'ENSG00000221880', 'start': 41033884, 'strand': -1}, {'chr': 'HSCHR17_4_CTG4', 'end': 184250, 'ensemblgene': 'ENSG00000262347', 'start': 183279, 'strand': -1}]",,
MPP2,4355,18.386465,"{'chr': '17', 'end': 43909711, 'ensemblgene': 'ENSG00000108852', 'start': 43875357, 'strand': -1}",,34354.0
SLC52A1,55065,22.092735,"{'chr': '17', 'end': 5052009, 'ensemblgene': 'ENSG00000132517', 'start': 5032600, 'strand': -1}",,19409.0
EVPL,2125,18.278242,"{'chr': '17', 'end': 76027306, 'ensemblgene': 'ENSG00000167880', 'start': 76004502, 'strand': -1}",,22804.0
TP53,7157,18.0256,"{'chr': '17', 'end': 7687546, 'ensemblgene': 'ENSG00000141510', 'start': 7661779, 'strand': -1}",,25767.0
CEP76,79959,17.628681,"{'chr': '18', 'end': 12702777, 'ensemblgene': 'ENSG00000101624', 'start': 12661833, 'strand': -1}",,40944.0
RIOK3,8780,17.63083,"{'chr': '18', 'end': 23486603, 'ensemblgene': 'ENSG00000101782', 'start': 23453287, 'strand': 1}",,33316.0
PPP4R1,9989,18.022831,"{'chr': '18', 'end': 9615240, 'ensemblgene': 'ENSG00000154845', 'start': 9546791, 'strand': -1}",,68449.0
MRPL4,51073,17.007027,"{'chr': '19', 'end': 10260055, 'ensemblgene': 'ENSG00000105364', 'start': 10251901, 'strand': 1}",,8154.0
KLF1,10661,18.137804,"{'chr': '19', 'end': 12887201, 'ensemblgene': 'ENSG00000105610', 'start': 12884422, 'strand': -1}",,2779.0
ZNF682,91120,23.003805,"{'chr': '19', 'end': 20039505, 'ensemblgene': 'ENSG00000197124', 'start': 19997058, 'strand': -1}",,42447.0
SIPA1L3,23094,17.877493,"{'chr': '19', 'end': 38208369, 'ensemblgene': 'ENSG00000105738', 'start': 37907208, 'strand': 1}",,301161.0
IFNL3,282617,21.690495,"[{'chr': '19', 'end': 39245250, 'ensemblgene': 'ENSG00000197110', 'start': 39243455, 'strand': -1}, {'chr': 'HG2569_PATCH', 'end': 25633, 'ensemblgene': 'ENSG00000291876', 'start': 23838, 'strand': -1}]",,
SERTAD3,29946,18.314596,"{'chr': '19', 'end': 40444335, 'ensemblgene': 'ENSG00000167565', 'start': 40440844, 'strand': -1}",,3491.0
ZNF702P,79986,8.519197,"{'chr': '19', 'end': 53058563, 'ensemblgene': 'ENSG00000293317', 'start': 52966896, 'strand': -1}",,91667.0
ZNF702P,ENSG00000242779,8.519197,"{'chr': '19', 'end': 52970875, 'ensemblgene': 'ENSG00000242779', 'start': 52968910, 'strand': -1}",,1965.0
DPRX,503834,20.14277,"{'chr': '19', 'end': 53637014, 'ensemblgene': 'ENSG00000204595', 'start': 53600777, 'strand': 1}",,36237.0
NLRP5,126206,19.438242,"{'chr': '19', 'end': 56061810, 'ensemblgene': 'ENSG00000171487', 'start': 55999726, 'strand': 1}",,62084.0
HIPK1,204851,18.21425,"{'chr': '1', 'end': 113977869, 'ensemblgene': 'ENSG00000163349', 'start': 113929324, 'strand': 1}",,48545.0
ADAR,103,17.106533,"{'chr': '1', 'end': 154628013, 'ensemblgene': 'ENSG00000160710', 'start': 154581695, 'strand': -1}",,46318.0
OR10X1,128367,23.003805,"{'chr': '1', 'end': 158579899, 'ensemblgene': 'ENSG00000279111', 'start': 158578919, 'strand': -1}",,980.0
VANGL2,57216,17.885078,"{'chr': '1', 'end': 160428678, 'ensemblgene': 'ENSG00000162738', 'start': 160400564, 'strand': 1}",,28114.0
SLAMF7,57823,19.299639,"{'chr': '1', 'end': 160754821, 'ensemblgene': 'ENSG00000026751', 'start': 160739057, 'strand': 1}",,15764.0
TNN,63923,17.775015,"{'chr': '1', 'end': 175148075, 'ensemblgene': 'ENSG00000120332', 'start': 175067833, 'strand': 1}",,80242.0
TNR,7143,17.637299,"{'chr': '1', 'end': 175743595, 'ensemblgene': 'ENSG00000116147', 'start': 175315194, 'strand': -1}",,428401.0
HMCN1,83872,17.66564,"{'chr': '1', 'end': 186190949, 'ensemblgene': 'ENSG00000143341', 'start': 185734391, 'strand': 1}",,456558.0
TAS1R2,80834,18.829456,"{'chr': '1', 'end': 18859660, 'ensemblgene': 'ENSG00000179002', 'start': 18839599, 'strand': -1}",,20061.0
GNPAT,8443,17.506845,"{'chr': '1', 'end': 231277973, 'ensemblgene': 'ENSG00000116906', 'start': 231241207, 'strand': 1}",,36766.0
KDM1A,23028,17.577961,"{'chr': '1', 'end': 23083689, 'ensemblgene': 'ENSG00000004487', 'start': 23019443, 'strand': 1}",,64246.0
OR2M4,26245,24.70666,"{'chr': '1', 'end': 248244679, 'ensemblgene': 'ENSG00000171180', 'start': 248231417, 'strand': 1}",,13262.0
SYF2,25949,17.538952,"{'chr': '1', 'end': 25232502, 'ensemblgene': 'ENSG00000117614', 'start': 25222276, 'strand': -1}",,10226.0
EYA3,2140,17.659052,"{'chr': '1', 'end': 28088637, 'ensemblgene': 'ENSG00000158161', 'start': 27970344, 'strand': -1}",,118293.0
COL24A1,255631,18.143782,"{'chr': '1', 'end': 86156943, 'ensemblgene': 'ENSG00000171502', 'start': 85729233, 'strand': -1}",,427710.0
MACROD2,140733,17.73309,"{'chr': '20', 'end': 16053197, 'ensemblgene': 'ENSG00000172264', 'start': 13995369, 'strand': 1}",,2057828.0
CEP250,11190,18.450832,"{'chr': '20', 'end': 35519280, 'ensemblgene': 'ENSG00000126001', 'start': 35455164, 'strand': 1}",,64116.0
NDRG3,57446,18.288073,"{'chr': '20', 'end': 36746090, 'ensemblgene': 'ENSG00000101079', 'start': 36651766, 'strand': -1}",,94324.0
STK4,6789,18.26847,"{'chr': '20', 'end': 45084214, 'ensemblgene': 'ENSG00000101109', 'start': 44966494, 'strand': 1}",,117720.0
RIPK4,54101,17.648138,"{'chr': '21', 'end': 41767089, 'ensemblgene': 'ENSG00000183421', 'start': 41739369, 'strand': -1}",,27720.0
PRMT2,3275,18.26523,"{'chr': '21', 'end': 46665685, 'ensemblgene': 'ENSG00000160310', 'start': 46635595, 'strand': 1}",,30090.0
ATXN10,25814,17.55936,"{'chr': '22', 'end': 45845307, 'ensemblgene': 'ENSG00000130638', 'start': 45671798, 'strand': 1}",,173509.0
LRP1B,53353,18.258766,"{'chr': '2', 'end': 142131016, 'ensemblgene': 'ENSG00000168702', 'start': 140231423, 'strand': -1}",,1899593.0
RIF1,55183,17.221106,"{'chr': '2', 'end': 151508013, 'ensemblgene': 'ENSG00000080345', 'start': 151409883, 'strand': 1}",,98130.0
BAZ2B,29994,18.056435,"{'chr': '2', 'end': 159616569, 'ensemblgene': 'ENSG00000123636', 'start': 159315312, 'strand': -1}",,301257.0
GTF3C3,9330,17.613714,"{'chr': '2', 'end': 196799725, 'ensemblgene': 'ENSG00000119041', 'start': 196763035, 'strand': -1}",,36690.0
NOP58,51602,17.448387,"{'chr': '2', 'end': 202303661, 'ensemblgene': 'ENSG00000055044', 'start': 202265736, 'strand': 1}",,37925.0
BARD1,580,17.596786,"{'chr': '2', 'end': 214809683, 'ensemblgene': 'ENSG00000138376', 'start': 214725646, 'strand': -1}",,84037.0
GLB1L,79411,17.620111,"{'chr': '2', 'end': 219245478, 'ensemblgene': 'ENSG00000163521', 'start': 219236598, 'strand': -1}",,8880.0
DPYSL5,56896,18.3213,"{'chr': '2', 'end': 26950351, 'ensemblgene': 'ENSG00000157851', 'start': 26847747, 'strand': 1}",,102604.0
IFT172,26160,17.603113,"{'chr': '2', 'end': 27489805, 'ensemblgene': 'ENSG00000138002', 'start': 27444377, 'strand': -1}",,45428.0
GGCX,2677,17.73309,"{'chr': '2', 'end': 85561532, 'ensemblgene': 'ENSG00000115486', 'start': 85544720, 'strand': -1}",,16812.0
IGKV1D-42,28892,26.409512,"{'chr': '2', 'end': 90190681, 'ensemblgene': 'ENSG00000211633', 'start': 90190193, 'strand': 1}",,488.0
IFT122,55764,17.596786,"{'chr': '3', 'end': 129520510, 'ensemblgene': 'ENSG00000163913', 'start': 129429607, 'strand': 1}",,90903.0
NPHP3,27031,17.63083,"{'chr': '3', 'end': 132722432, 'ensemblgene': 'ENSG00000113971', 'start': 132680609, 'strand': -1}",,41823.0
TRIM42,287015,18.632713,"{'chr': '3', 'end': 140701150, 'ensemblgene': 'ENSG00000155890', 'start': 140678064, 'strand': 1}",,23086.0
P2RY1,5028,17.667841,"{'chr': '3', 'end': 152841439, 'ensemblgene': 'ENSG00000169860', 'start': 152835131, 'strand': 1}",,6308.0
DHX36,170506,17.549122,"[{'chr': 'HSCHR3_2_CTG2_1', 'end': 9497, 'ensemblgene': 'ENSG00000281763', 'start': 1181, 'strand': 1}, {'chr': '3', 'end': 154324487, 'ensemblgene': 'ENSG00000174953', 'start': 154272546, 'strand': -1}]",,
SI,6476,17.806017,"{'chr': '3', 'end': 165078496, 'ensemblgene': 'ENSG00000090402', 'start': 164978898, 'strand': -1}",,99598.0
BCHE,590,18.079248,"{'chr': '3', 'end': 165837462, 'ensemblgene': 'ENSG00000114200', 'start': 165772904, 'strand': -1}",,64558.0
SLC7A14,57709,18.21425,"{'chr': '3', 'end': 170586075, 'ensemblgene': 'ENSG00000013293', 'start': 170459548, 'strand': -1}",,126527.0
ARPP21,10777,17.654676,"{'chr': '3', 'end': 35794496, 'ensemblgene': 'ENSG00000172995', 'start': 35638945, 'strand': 1}",,155551.0
COL8A1,1295,18.233171,"{'chr': '3', 'end': 99799226, 'ensemblgene': 'ENSG00000144810', 'start': 99638475, 'strand': 1}",,160751.0
ARSJ,79642,17.34304,"{'chr': '4', 'end': 113979727, 'ensemblgene': 'ENSG00000180801', 'start': 113900284, 'strand': -1}",,79443.0
RXFP1,59350,17.571735,"{'chr': '4', 'end': 158653372, 'ensemblgene': 'ENSG00000171509', 'start': 158315311, 'strand': 1}",,338061.0
GPM6A,2823,18.255543,"{'chr': '4', 'end': 176002664, 'ensemblgene': 'ENSG00000150625', 'start': 175632934, 'strand': -1}",,369730.0
FAT1,2195,18.134823,"{'chr': '4', 'end': 186726722, 'ensemblgene': 'ENSG00000083857', 'start': 186587794, 'strand': -1}",,138928.0
LIN54,132660,17.59258,"{'chr': '4', 'end': 83012926, 'ensemblgene': 'ENSG00000189308', 'start': 82909973, 'strand': -1}",,102953.0
TSLP,85480,19.48023,"{'chr': '5', 'end': 111078026, 'ensemblgene': 'ENSG00000145777', 'start': 111070062, 'strand': 1}",,7964.0
RAD50,10111,16.576479,"{'chr': '5', 'end': 132646349, 'ensemblgene': 'ENSG00000113522', 'start': 132556019, 'strand': 1}",,90330.0
ZMAT2,153527,17.5863,"{'chr': '5', 'end': 140706686, 'ensemblgene': 'ENSG00000146007', 'start': 140698680, 'strand': 1}",,8006.0
PCDHA10,56139,23.003805,"[{'chr': '5', 'end': 141012347, 'ensemblgene': 'ENSG00000250120', 'start': 140855883, 'strand': 1}, {'chr': 'HG2308_PATCH', 'end': 247523, 'ensemblgene': 'ENSG00000291659', 'start': 91059, 'strand': 1}]",,
PCDHA13,56136,22.637403,"[{'chr': '5', 'end': 141012347, 'ensemblgene': 'ENSG00000239389', 'start': 140882124, 'strand': 1}, {'chr': 'HG2308_PATCH', 'end': 247523, 'ensemblgene': 'ENSG00000291666', 'start': 117300, 'strand': 1}]",,
GRPEL2,134266,18.0256,"{'chr': '5', 'end': 149354583, 'ensemblgene': 'ENSG00000164284', 'start': 149345430, 'strand': 1}",,9153.0
GABRA1,2554,17.698997,"{'chr': '5', 'end': 161899981, 'ensemblgene': 'ENSG00000022355', 'start': 161847063, 'strand': 1}",,52918.0
ZNF622,90441,17.61159,"{'chr': '5', 'end': 16465800, 'ensemblgene': 'ENSG00000173545', 'start': 16451519, 'strand': -1}",,14281.0
TENM2,57451,18.10825,"{'chr': '5', 'end': 168264157, 'ensemblgene': 'ENSG00000145934', 'start': 166979029, 'strand': 1}",,1285128.0
ZFR,51663,17.645964,"{'chr': '5', 'end': 32444740, 'ensemblgene': 'ENSG00000056097', 'start': 32354350, 'strand': -1}",,90390.0
MED10,84246,16.698866,"[{'chr': '5', 'end': 6378571, 'ensemblgene': 'ENSG00000133398', 'start': 6371874, 'strand': -1}, {'chr': 'HG2476_PATCH', 'end': 80745, 'ensemblgene': 'ENSG00000291745', 'start': 74048, 'strand': -1}]",,
RGS7BP,401190,18.226837,"{'chr': '5', 'end': 64612319, 'ensemblgene': 'ENSG00000186479', 'start': 64506015, 'strand': 1}",,106304.0
TBPL1,9519,17.605227,"{'chr': '6', 'end': 133990432, 'ensemblgene': 'ENSG00000028839', 'start': 133952170, 'strand': 1}",,38262.0
MYB,4602,17.043413,"{'chr': '6', 'end': 135219173, 'ensemblgene': 'ENSG00000118513', 'start': 135181308, 'strand': 1}",,37865.0
UTRN,7402,17.760914,"{'chr': '6', 'end': 144853034, 'ensemblgene': 'ENSG00000152818', 'start': 144285335, 'strand': 1}",,567699.0
WTAP,9589,17.613714,"{'chr': '6', 'end': 159756319, 'ensemblgene': 'ENSG00000146457', 'start': 159725585, 'strand': 1}",,30734.0
PPP2R5D,5528,17.603113,"{'chr': '6', 'end': 43012342, 'ensemblgene': 'ENSG00000112640', 'start': 42984553, 'strand': 1}",,27789.0
ZNF318,24149,17.69675,"{'chr': '6', 'end': 43369647, 'ensemblgene': 'ENSG00000171467', 'start': 43307134, 'strand': -1}",,62513.0
PKHD1,5314,18.328032,"{'chr': '6', 'end': 52087613, 'ensemblgene': 'ENSG00000170927', 'start': 51615299, 'strand': -1}",,472314.0
KCND2,3751,17.772657,"{'chr': '7', 'end': 120750337, 'ensemblgene': 'ENSG00000184408', 'start': 120273175, 'strand': 1}",,477162.0
ZNF425,155054,20.26729,"{'chr': '7', 'end': 149126324, 'ensemblgene': 'ENSG00000204947', 'start': 149102784, 'strand': -1}",,23540.0
ABCA13,154664,18.529472,"{'chr': '7', 'end': 48647497, 'ensemblgene': 'ENSG00000179869', 'start': 48171458, 'strand': 1}",,476039.0
EIF2AK1,27102,17.582125,"{'chr': '7', 'end': 6059175, 'ensemblgene': 'ENSG00000086232', 'start': 6022247, 'strand': -1}",,36928.0
RNF19A,25897,17.751583,"{'chr': '8', 'end': 100336218, 'ensemblgene': 'ENSG00000034677', 'start': 100257060, 'strand': -1}",,79158.0
COL14A1,7373,18.204874,"{'chr': '8', 'end': 120373573, 'ensemblgene': 'ENSG00000187955', 'start': 120059780, 'strand': 1}",,313793.0
TRAPPC9,83696,17.596786,"{'chr': '8', 'end': 140458579, 'ensemblgene': 'ENSG00000167632', 'start': 139727725, 'strand': -1}",,730854.0
LY6D,8581,18.848215,"{'chr': '8', 'end': 142786539, 'ensemblgene': 'ENSG00000167656', 'start': 142784882, 'strand': -1}",,1657.0
CPSF1,29894,17.19166,"[{'chr': '8', 'end': 144409335, 'ensemblgene': 'ENSG00000071894', 'start': 144393229, 'strand': -1}, {'chr': 'HG2419_PATCH', 'end': 139938, 'ensemblgene': 'ENSG00000285049', 'start': 123832, 'strand': -1}]",,
NUGGC,389643,18.940563,"{'chr': '8', 'end': 28083936, 'ensemblgene': 'ENSG00000189233', 'start': 28021964, 'strand': -1}",,61972.0
PLAT,5327,17.615843,"{'chr': '8', 'end': 42207709, 'ensemblgene': 'ENSG00000104368', 'start': 42174718, 'strand': -1}",,32991.0
ZFHX4,79776,17.58839,"{'chr': '8', 'end': 76867281, 'ensemblgene': 'ENSG00000091656', 'start': 76681239, 'strand': 1}",,186042.0
CTNNAL1,8727,17.624392,"{'chr': '9', 'end': 109013522, 'ensemblgene': 'ENSG00000119326', 'start': 108942569, 'strand': -1}",,70953.0
LRSAM1,90678,17.598894,"{'chr': '9', 'end': 127503499, 'ensemblgene': 'ENSG00000148356', 'start': 127451489, 'strand': 1}",,52010.0
ASB6,140459,17.643791,"{'chr': '9', 'end': 129642169, 'ensemblgene': 'ENSG00000148331', 'start': 129634604, 'strand': -1}",,7565.0
GTF3C4,9329,17.641624,"{'chr': '9', 'end': 132694953, 'ensemblgene': 'ENSG00000125484', 'start': 132670035, 'strand': 1}",,24918.0
FRMPD1,22844,18.26523,"{'chr': '9', 'end': 37746904, 'ensemblgene': 'ENSG00000070601', 'start': 37650954, 'strand': 1}",,95950.0
ZNF658,26149,20.339678,"{'chr': '9', 'end': 66932141, 'ensemblgene': 'ENSG00000274349', 'start': 66856426, 'strand': 1}",,75715.0
ABHD17B,51104,17.637299,"{'chr': '9', 'end': 71911193, 'ensemblgene': 'ENSG00000107362', 'start': 71862452, 'strand': -1}",,48741.0
GDA,9615,17.596786,"{'chr': '9', 'end': 72257193, 'ensemblgene': 'ENSG00000119125', 'start': 72114595, 'strand': 1}",,142598.0
GKAP1,80318,17.728502,"{'chr': '9', 'end': 83829516, 'ensemblgene': 'ENSG00000165113', 'start': 83739425, 'strand': -1}",,90091.0
SPANXN4,441525,24.512655,"{'chr': 'X', 'end': 143034702, 'ensemblgene': 'ENSG00000189326', 'start': 143025928, 'strand': 1}",,8774.0
SPRY3,10251,18.207993,"{'chr': 'X', 'end': 155782459, 'ensemblgene': 'ENSG00000168939', 'start': 155612572, 'strand': 1}",,169887.0
TIAL1,7073,17.626534,"{'chr': '10', 'end': 119597029, 'ensemblgene': 'ENSG00000151923', 'start': 119571802, 'strand': -1}",,25227.0
LRRC27,80313,18.552696,"{'chr': '10', 'end': 132381508, 'ensemblgene': 'ENSG00000148814', 'start': 132332154, 'strand': 1}",,49354.0
KIF5B,3799,18.079248,"{'chr': '10', 'end': 32056425, 'ensemblgene': 'ENSG00000170759', 'start': 32009015, 'strand': -1}",,47410.0
PTEN,5728,17.49695,"[{'chr': '10', 'end': 87971930, 'ensemblgene': 'ENSG00000171862', 'start': 87862638, 'strand': 1}, {'chr': 'HG2334_PATCH', 'end': 183684, 'ensemblgene': 'ENSG00000284792', 'start': 78462, 'strand': 1}]",,
MUC5AC,4586,19.038763,"[{'chr': '11', 'end': 1201138, 'ensemblgene': 'ENSG00000215182', 'start': 1157953, 'strand': 1}, {'chr': 'HG107_HG2565_PATCH', 'end': 198622, 'ensemblgene': 'ENSG00000291363', 'start': 155427, 'strand': 1}]",,
TIRAP,114609,17.808428,"{'chr': '11', 'end': 126298845, 'ensemblgene': 'ENSG00000150455', 'start': 126282497, 'strand': 1}",,16348.0
PAX6,5080,18.183218,"{'chr': '11', 'end': 31817961, 'ensemblgene': 'ENSG00000007372', 'start': 31784779, 'strand': -1}",,33182.0
PKP3,11187,18.236347,"{'chr': '11', 'end': 404908, 'ensemblgene': 'ENSG00000184363', 'start': 392614, 'strand': 1}",,12294.0
OR4C46,119749,26.409512,"{'chr': '11', 'end': 54603998, 'ensemblgene': 'ENSG00000185926', 'start': 54603069, 'strand': -1}",,929.0
OR51B2,79345,24.928467,"{'chr': '11', 'end': 5324297, 'ensemblgene': 'ENSG00000279012', 'start': 5323359, 'strand': -1}",,938.0
RTN4RL2,349667,18.386465,"{'chr': '11', 'end': 57477534, 'ensemblgene': 'ENSG00000186907', 'start': 57460528, 'strand': 1}",,17006.0
OR56A3,390083,23.684826,"{'chr': '11', 'end': 5951347, 'ensemblgene': 'ENSG00000184478', 'start': 5938751, 'strand': 1}",,12596.0
KDM2A,22992,18.324661,"{'chr': '11', 'end': 67258082, 'ensemblgene': 'ENSG00000173120', 'start': 67119263, 'strand': 1}",,138819.0
ANO1,55107,18.079248,"{'chr': '11', 'end': 70189530, 'ensemblgene': 'ENSG00000131620', 'start': 69985907, 'strand': 1}",,203623.0
STARD10,10809,17.656864,"{'chr': '11', 'end': 72794047, 'ensemblgene': 'ENSG00000214530', 'start': 72754729, 'strand': -1}",,39318.0
