gene,observed_dNdS,expected_dNdS
UCHL3,2.0,3.7099611535535866
PRSS16,2.0,2.636513462269308
STK38L,2.0,3.487033936552215
COL15A1,3.5,2.8642298370606194
FABP7,2.0,3.250261946741769
NUDT10,2.0,2.2198857165315578
ZFYVE19,4.0,2.677311021634628
ADPRH,3.0,2.9657545777056002
ZC3H15,3.0,3.773197004968547
NEK5,14.0,3.1498729026669423
CEACAM20,4.0,
ACADSB,3.0,3.190112768328185
HCN1,2.2222222222222223,2.6472014103547026
GPR101,6.0,2.2739404055223265
FILIP1,6.0,3.0619140690499154
HERC4,0.5,3.5076068918473804
AATK,3.0,2.1389510441746524
SIRT3,2.0,2.3387195404429173
DSTN,0.0,3.854538802784869
GSTA4,0.0,2.8570036489566126
MAP4,0.6666666666666666,2.9924936697331668
HAUS3,1.0,3.597401102476335
MAGEB4,0.3333333333333333,2.705457763649832
LILRA3,1.0,2.236727106123764
PPP1R14B,0.0,2.1521019952079055
DHRS4,3.0,2.176973197033061
CDADC1,5.0,3.3022970203120856
PHIP,12.0,3.8257675865455667
CNIH3,0.0,2.4630884043062653
TGFBRAP1,4.0,2.2865752303137494
PFDN4,2.0,3.630112172388645
UBD,1.0,2.5522173942368647
KIAA2013,2.0,1.9185723194640405
SLC9A2,1.0,2.544442949615637
ZC3HAV1L,3.0,2.361242389939533
CETN2,2.0,3.1072280342051752
NDUFA6-AS1,6.0,
ABRACL,1.0,3.222671950999378
TUBA3C,6.0,2.1690836193650838
CKAP2L,2.0,3.3530741130360933
RFC2,4.0,2.480243778371405
ABCA4,1.5,2.469493479341911
NRDE2,2.0,2.829701354737513
TUBA1A,0.0,2.644230057773041
OR4X2,1.5,2.33581458569414
PFN2,3.0,2.851909555937335
CYLC1,2.0,3.966918097530406
C20orf27,3.0,2.3094570559613428
ADAM32,2.5,3.7831720953813615
FANCL,3.0,3.5321351626014046
LAMTOR3,2.0,3.191430150319112
P2RY2,3.0,1.9352621260037677
MSL2,5.0,3.247159442508668
ATP11C,3.0,3.3277372496854127
ZCCHC13,2.0,3.1014173456668
CADM3,3.0,2.419512055270352
C17orf97,3.0,2.3068488433220544
TDRP,3.0,2.6605428964428013
SERPINB2,2.0,2.981780958469171
TSC22D2,4.0,2.612061251473336
PLAU,1.5,2.6385373089043895
TRIT1,3.0,2.944457426839849
FAM126B,6.0,3.2190985631427327
UBA5,2.0,4.030771445284638
WDR62,2.0,2.3670103772741213
CMTM3,1.0,2.190677591609656
EXOC2,3.0,2.953158107363428
GDF15,2.0,2.0574583488392233
MPRIP,0.75,2.8147118510483433
WARS2,7.0,2.8017201511045826
AQP1,1.0,2.0373928184889607
ZIC5,1.0,2.273916567082361
MYO7A,2.0,2.122459467475073
CGB2,3.0,2.017607039924366
KLHL20,2.0,3.3186035960370677
SPNS3,5.0,2.073034869257323
AGR3,2.0,3.723766012834167
MEST,4.0,2.656258039310947
MYF5,2.5,2.5052989223557445
MME,7.0,3.3613751096336495
ARL11,2.0,2.2085966435265787
SPATA1,3.0,
ZC3HAV1,0.6666666666666666,2.7746029763776563
HEXIM2,4.0,2.4783305228327888
KCNK18,1.5,2.4266472664540526
TMPRSS11F,4.0,3.9102112248978944
NPDC1,0.0,2.277086581400479
LRRC37A3,7.0,2.8791060560986392
PYROXD2,2.0,2.3444546044409114
LGALSL,2.0,2.9921901804680675
CDH7,8.5,2.9034191514574177
HSPA8,3.0,3.156461874491517
MFN1,2.6666666666666665,3.4584358449876182
HRSP12,2.0,3.184976973042587
RAB6C-AS1,2.0,
LMTK3,6.0,2.166438537725754
ADAT1,2.0,3.0002847760337916
CHGA,1.0,2.510236778941869
DUSP18,4.0,2.476468983561297
HOXC9,0.5,2.2313475944563836
C1orf43,3.0,2.502421124432335
ZNF554,2.0,2.9027958728778556
SHF,1.0,2.5171953145846153
ALPPL2,7.0,2.1151604071228363
SF3A1,1.0,2.645715517228571
PPIP5K2,6.0,3.8359829830661667
RGPD4,4.0,3.735868149210639
PPP1R3C,1.0,3.0544568800755965
HPGDS,0.0,3.4328575466853497
FAM8A1,3.0,2.58207694283367
TSN,2.0,2.6763212468913973
TRIM60,4.0,3.2958655969356188
SHROOM2,4.0,2.3577411118786
KRT12,4.0,2.492524397808535
BMF,0.0,2.788080319987076
CXADR,3.0,3.2731041867925614
PHF7,1.0,3.3459842964347746
NPBWR2,1.5,1.762434267058773
ZCCHC24,4.0,2.1020607367035775
CHCHD1,2.0,2.5078254491796335
CLDN6,4.0,1.935439118401509
CFHR3,3.0,3.9835325806361124
ASB16,2.0,2.1434883760764984
ASXL3,13.5,3.379785367703078
LMNB2,2.0,2.017088127995872
TMPPE,3.0,2.3437345189844896
TNPO1,4.0,3.5331995905322002
ZBTB11,5.0,3.56017644712021
RAPGEF6,8.0,3.5931243981879746
FAM65A,1.5,2.3468226768839284
MYCBPAP,6.0,2.5332256386420546
KDM4E,3.0,2.970508604124333
ASCL1,1.3333333333333333,2.214065433499304
SCAMP3,6.0,2.5442451580558725
HCAR3,3.0,2.201973947775718
PPM1G,0.5,2.8837147790975077
ATP6V0E1,2.0,2.4491691589232656
EIF3M,3.0,2.8645265988071524
KHSRP,3.0,2.7225006722592076
SLC19A2,4.0,2.4951823438762526
MTX1,0.0,2.268592614751827
DDX53,4.0,3.6770213576364137
BORA,3.0,3.901665531262062
TOP3B,4.0,2.2505482904833602
NRG1,4.0,2.8935710969370003
NAMPT,5.0,3.431172652158764
SLC22A15,0.5,2.463311888873978
RPS27A,1.0,2.976965087458834
KCNH8,2.3333333333333335,2.877832873544695
NAPA,1.0,2.3917933302275323
FOXD2,2.0,2.1653416998736104
DCDC2,2.0,3.973244004001563
APLP1,3.0,2.4005393669566333
ZSCAN5A,2.5,2.670898109888312
MLLT10,6.0,3.2607315695466497
GYPA,4.0,3.5811459664596694
DDX52,5.0,3.474616308485826
PANX2,4.0,1.831881584463221
UMODL1,0.4,2.259737358860866
DDX23,1.0,2.7440713425725307
DNAH5,3.65,2.913732735681506
NTRK3,3.0,2.377344500667961
TMPRSS3,4.0,2.474225023587687
OR5B2,0.5,2.448529676406959
MYL6B,3.0,2.329796198976661
SPACA3,1.0,2.4868798219709816
NCOR1,13.0,3.3355588338333506
ZNF428,2.0,2.7936353681738226
OXTR,1.0,1.8779339727900919
NOSTRIN,2.5,3.2641496191967545
RP4-806M20.3,2.0,
TMEM190,2.0,2.24069051417018
SPATA31A6,4.5,2.928411998712412
MRPS30,7.0,2.800185129783467
CUL4B,7.0,3.4332307191087983
ZNF232,3.0,3.271871272328849
NRG2,5.0,2.1726405232194175
OBFC1,3.0,2.7659088365869544
RP1L1,3.5,2.6890436183917443
CCP110,7.0,4.027862694550877
NUP98,2.0,3.1901795600833647
PCCA,9.0,3.2098247192785587
THEM5,5.0,2.6249267942491263
EPO,2.0,2.1055551950149223
BTN3A2,6.0,2.035085740903261
TMEM110,1.0,2.2246813867097663
IL1RL2,3.0,2.7849987294196263
OR10A3,4.0,2.497113485303224
PKMYT1,2.0,2.248923048097899
ZBTB43,2.0,3.0318017232343486
LCE3A,0.0,3.1803181122903017
MIR124-2,3.0,
SOX1,2.0,2.0870690729822683
CCDC176,1.0,3.2916116204768167
KRTAP4-2,3.0,2.7238127191228094
EPB41L2,9.0,2.9749345583717974
OR10H2,1.0,1.8991693986858122
SMG1,3.0,3.2594112683041856
PTX4,5.0,2.099298393838307
ESYT1,2.5,2.4499752451465717
AKR1D1,3.0,2.867852159207328
TFCP2,2.0,3.2641748292540567
C9orf66,3.0,2.333530436732566
ZG16B,2.0,2.3664891538900177
SMU1,2.0,3.136890838591563
ATAD3C,0.0,2.0989038625860377
IGHV1-24,2.0,
HIST1H4J,1.0,1.925071148973515
CTBP2,1.3333333333333333,2.344669264482319
ADAMTS3,8.5,3.417165108806326
OR7A5,6.0,2.456157783830299
ZNF395,2.0,2.506548530229477
ZNF76,3.0,2.4603570198549622
DCP1A,1.0,2.8279130153969283
ERICH1,2.0,2.9035859589024904
GDPD1,2.0,3.000333347537746
PEX13,1.0,3.18920844703566
TCF7L1,2.0,2.28807433486009
FOXL2,0.0,2.2488622551685546
YTHDC2,4.5,3.715791761443717
IARS2,4.0,3.587129783713246
MAP3K8,1.0,2.9467872754415776
SLC26A2,5.0,3.099083484860992
THAP5,5.0,3.918099064556539
STX1A,8.0,2.290015500636951
NCOA5,3.0,2.970183018373023
MTMR8,10.0,2.8378844257449907
CRISPLD2,1.0,2.479468010462328
IFIT1B,3.0,2.990881384635652
GSS,0.3333333333333333,2.331781340058542
ATRN,4.0,2.9793701088411395
KIR3DL2,8.0,2.6403387495570017
CCL4L1,3.0,2.422745461605757
IMPDH1,1.0,2.1816927895232676
MAGEF1,2.0,2.3495799806300597
SESN1,3.0,3.7886490226007505
HBB,1.0,2.180569813854454
WHSC1,9.0,2.847157889216242
SUSD1,1.0,2.8051245695935942
H3F3C,2.0,2.199026162743151
SCFD1,2.0,3.7866682238084968
PSG5,3.0,2.736841145280203
ALX4,1.5,2.3658999582820615
WDSUB1,4.0,3.418981470789698
VASH2,4.0,2.4427312824434675
MCF2,4.5,3.519449101540766
RPP40,4.0,3.0036748209637207
TTBK1,2.5,2.224354927447802
ZNF852,2.0,3.3800204027443126
ZNF513,2.5,2.58015217488462
NFATC1,3.0,2.1177829103273793
BHLHE40,2.0,2.5328771848140628
CARS,4.0,2.5657436774390048
PACS2,6.0,2.1505874812512555
SLC35E3,3.0,2.325435698615158
CABLES2,3.0,2.019856096380253
DUPD1,2.0,2.1262313784862745
DSCR3,6.0,2.3043680992399795
HSPB8,2.0,2.607839717267148
CACTIN,1.0,2.170945544096547
IGF1,2.0,2.537590010393556
XIAP,4.0,4.064420490544473
POLR3C,2.0,2.941994875293249
PNLIPRP1,3.0,2.780549119130454
MIR518A1,2.0,
PURB,4.0,2.119998156884491
KRTAP19-7,2.0,2.902969971242802
KIAA1147,2.0,2.312170641447375
FAM134A,3.0,2.3217785278886973
SAV1,2.0,3.8449090514336555
SYNJ1,2.6666666666666665,3.5717306416137453
TFDP3,4.0,2.5945122208418057
AP1B1,3.0,2.0981682226948535
LPCAT1,0.5,2.252319571165516
PPFIA2,3.142857142857143,3.5397128440435597
LRRFIP1,6.0,2.775907153961246
RANBP2,1.5714285714285714,3.9378749027472506
CCNT1,4.0,3.2480613813700696
RSPO4,1.0,2.3003054376739387
ACOT4,1.0,2.4147212049368307
IL17RC,2.0,2.2280699097917855
EIF3F,4.0,2.5601979069749174
CTC-457E21.3,2.0,
C5orf38,5.0,2.08853902777879
FAM180A,2.0,2.091497331727253
GBP7,2.5,2.793578562945953
DSN1,1.0,3.2721494070232438
HIST1H4K,4.0,1.925071148973515
SPANXN5,2.0,3.025608356266301
SNX24,3.0,2.8918842251511427
ZCCHC17,1.0,3.3268223369478207
TPST2,2.0,1.9533787400831837
ZNF157,4.0,3.4409087474100915
ALDH5A1,1.0,2.5255278675750854
KPNA1,5.0,3.2152243272351217
FBXW12,2.0,2.9472201111786394
KCNA10,4.0,2.40556207297899
FCRL5,3.5,2.518430072638916
ORC4,2.0,3.698128344916959
C11orf63,3.0,3.0397674301772457
TRMT6,0.0,3.2338825008196284
HDAC11,4.0,2.6776251776612017
CD247,3.0,2.407945387886757
MRGPRE,0.0,1.795336770898221
RREB1,1.0,2.309533423190577
CUEDC2,1.0,2.4240373417798615
AACSP1,2.0,
GPR85,0.0,2.6415101972594917
CACNA1E,2.142857142857143,2.3716286340465893
ITGA3,5.0,2.198646248648117
ZC3H3,4.0,2.2725988066366414
NPVF,3.0,3.2583235036501965
CHAF1A,4.0,2.4640759675879913
MTMR2,2.0,3.4877715289578406
MLNR,2.0,1.8753027043505912
MFSD2A,1.3333333333333333,2.204211377573705
AHCTF1,5.0,3.634381219724494
ZNF230,0.5,3.434694224516713
SPIRE1,0.5,2.734199264926095
CTSL,0.0,3.241847951654715
TMEM55B,2.0,2.627215233326329
SLC35F1,1.75,2.2278674166849557
MOB1B,3.0,3.5887278318980083
ENPP1,4.5,3.245282912512188
NAT8,4.0,2.367148591297314
LRRC8D,1.0,2.962886244628128
GNL2,4.0,3.2979913269694636
LRTOMT,6.0,2.218273019468729
DIS3L,3.0,3.09784327148272
MTMR10,2.0,3.083621084786228
CSMD1,2.1538461538461537,2.7721897836791136
PRMT5,5.0,2.6902662594440576
RNF169,2.0,2.690623888444566
C6orf136,3.0,2.382866370313994
RAB3A,3.0,2.3430300673367963
CAPN13,3.0,2.6207122159756926
POLR2M,3.0,3.0652913032082405
PTPN4,6.0,3.713014031788419
PPP1R2P1,2.0,
FFAR4,0.0,1.937036955643963
PDC,2.0,3.644663046727808
C5,8.0,3.2748220111142836
NEGR1,3.0,2.9105229068945064
HYAL4,1.0,3.3804925575248688
PSME3,3.0,2.5841436031958516
TRMT10C,3.0,3.6122988308730233
KRT13,2.0,2.390130788582661
TBK1,3.0,3.8163695963237116
MOCS3,2.0,2.1649274166073846
SPRY1,2.0,3.026404626783026
CPO,3.0,3.0428610248558385
ELAVL3,4.0,2.030276062163809
AMDHD2,1.0,2.014789443439562
CDH18,4.666666666666667,3.1737982236794533
DNASE2B,2.0,3.154507181171763
MPPED1,1.5,2.1041148316495812
CD46,3.0,3.746725233809771
MUC6,8.0,2.278385957344288
HRCT1,2.0,2.322732144001222
PAQR6,5.0,2.0608445751102207
FAM27L,4.0,
TCF3,2.0,2.197593317412622
EXD3,4.0,2.026628661746953
TRPV5,3.5,2.277300406247288
KLK13,3.0,3.294254394637227
ZMYND12,2.0,2.5893504654845567
DAXX,0.3333333333333333,2.6143660343977357
RGS9,4.0,2.461611021810878
UBAP1,3.0,2.8029086291433445
SCN3B,3.0,2.224549865493679
NBPF9,1.5,3.0201853640566716
COL4A4,2.75,3.5840037505188262
OCA2,3.0,2.3386622353646427
IPO13,1.6666666666666667,2.2844307386147764
CCDC172,2.0,3.7953670800800205
NEDD4,6.0,3.715981218043954
STARD8,1.0,2.942108745784709
ZNF876P,2.0,
PFN1,2.0,2.15208567173323
ASMTL,3.0,2.1945009863345
ALS2,1.3333333333333333,3.1272732117316657
ZNF296,0.0,2.357867734778483
ACSS1,2.5,2.332572855175509
GABRR1,5.0,2.5444396036282244
BMP3,4.0,2.810417180352832
CXCR3,0.0,1.944398405394856
ARSB,2.0,2.543748701394795
LRRC14,3.0,2.0691206602745678
C1QTNF4,0.0,1.9299051276291126
RP11-50E11.3,6.0,
IGHV3-30,2.0,
NSL1,4.0,3.2743273465848395
RFC3,3.0,3.206871366310537
ZNF91,5.0,2.8019623947625094
SMCHD1,6.0,3.902803349901513
TG,2.25,2.155969753153382
KCNMB1,0.5,2.002975272545504
DEFB129,3.0,3.2115224533114386
SMAD5,2.0,3.573949991479373
HCRTR2,7.0,2.6817460082434477
ITGA11,1.0,2.1978090241198482
UGT3A2,1.0,2.811016046968759
BLOC1S1,2.0,2.396260650247432
TYK2,0.8,2.1209374916037107
PADI2,3.0,2.1083428510999873
FURIN,1.0,2.2118829804773577
CAPN12,4.0,2.0773400166610556
SHROOM1,2.0,2.3748641719304584
PCYT1A,2.0,2.8029898135837397
USHBP1,1.0,2.5008267465510268
TMEM39A,0.3333333333333333,3.0624476569493444
SOST,3.0,2.0971601100027724
RHOH,1.0,2.17481272580252
ZBTB25,3.0,3.088103520193362
STOML1,2.0,2.0681970677584673
TMEM133,2.0,2.6974478923294822
GUK1,2.0,2.0095654968260352
FRMD4A,3.0,2.4037932378151
FAAH,3.0,2.09293314404974
IVD,6.0,2.3406375464468363
NIFK,2.0,3.183836240448029
DOK3,1.0,2.3169461074074222
KLRF1,3.0,2.763325194678231
LRP6,15.0,3.3668978766790514
HIPK2,1.5,2.4016211534237955
DKK1,3.0,2.8136660482137827
GSPT2,7.0,3.084382602621381
ZNF727,2.0,3.5592311003071764
SLC16A14,5.0,2.44630495611198
FASTK,3.0,2.103490805381845
ABCC4,1.0,2.8319414008917416
SLC7A9,1.0,2.1351588011652427
PGM5,7.0,2.6327191053628782
TINAGL1,2.0,2.520450336400636
BRCA2,5.666666666666667,3.8957350430633806
PLCL2,4.5,3.2014680875387147
SP6,1.0,2.2773644794479977
WAS,0.5,2.752572414302279
TMEM194A,0.5,2.8133235656069284
TUBB,2.0,2.5431676861935886
EIF2A,3.0,3.6284487360307707
CIAPIN1,2.0,2.7331808938489806
PCDHA13,1.3,2.2403857781889323
KIAA1279,2.0,2.9512738966795165
TIGD7,2.0,3.6960970127794766
LYN,7.0,2.9892699901078914
PHKG2,4.0,2.3703786645481606
SLC9A5,2.0,2.129591081298135
GPR137,2.0,2.039896218469205
IFT43,3.0,2.602910075892276
PPP1R14D,2.0,2.662327152394566
CPT2,6.0,2.498235470216992
UBE2G2,0.0,2.7086998330896135
C10orf107,2.0,3.5899103992016634
SH3BP4,3.6666666666666665,2.12702036857645
DENND1B,2.0,3.1167624900541018
CTSD,3.0,1.941799707308423
CDKN1B,1.5,2.718820144500091
PPP2R2B,4.0,2.6880183949954795
DNAJC25,2.0,2.529389109543182
SPATA31C1,9.0,
TSPAN32,3.0,3.0200111819409514
EIF4ENIF1,2.0,3.057462193541032
OSBPL3,0.5,2.94422093068216
TTC1,4.0,3.4159761463693297
OR10H5,0.5,1.8752367763083486
FGF9,2.0,2.656092832691544
ZNF280A,2.6666666666666665,3.401137791308293
KIAA0355,6.0,2.7290395462792842
HBG2,5.0,2.1624094440532047
ZNF7,4.0,3.2264513260919996
RP11-96C23.14,2.0,
CEP85L,2.0,3.6327804375568995
OGFOD3,4.0,2.1340311664482416
MYBPC1,3.6666666666666665,3.112261084425299
TMED3,2.0,2.1667105014670978
IL17RA,1.5,2.166763019383266
C14orf79,4.0,2.8653567058825584
SCAF8,5.0,3.8822939151467257
TFDP2,0.0,2.975418356884027
MAP2,5.333333333333333,3.034090040009557
OSTN,2.0,2.8186693787876584
CST4,4.0,2.3489794454817066
RNF114,2.0,2.635900990441039
KAZALD1,2.0,2.2921717681910896
LDB3,9.0,2.37659772598153
RIOK2,1.5,3.7563838167049743
CASP3,1.0,3.794766400893217
TMEM30B,0.0,1.910113366380538
ATP5C1,2.0,3.007981968613033
CPPED1,3.0,2.3033927653167034
GYPC,0.5,2.6481028794059016
E2F4,2.0,2.484534265182435
DZANK1,3.0,3.2946198844025645
C14orf142,2.0,2.7141602034523307
CAMK2G,2.0,2.477438191731971
AP000350.10,0.0,
CNTN2,2.0,2.2742533894323502
KRT74,5.0,2.2637928642228298
ZNF282,4.0,2.3989066869866007
CENPP,3.0,2.8904369101258167
GPS1,3.0,2.0604365587362214
DPM1,2.0,3.226479459441854
NTRK2,1.0,2.6618845838514322
MRPL15,2.0,3.0620380496458695
DMBT1,1.8,2.6928729421950903
GTPBP6,1.0,
C9orf156,2.0,3.2295440171577616
PRRX2,3.0,2.0968571151274107
MIR656,2.0,
NETO1,3.5,3.1984980700163788
FZD7,0.5,1.9735582758780654
HS3ST3B1,0.0,1.960816342524602
SEH1L,2.0,3.6759323209998787
MALT1,2.0,3.1500125092468694
FAM124A,3.0,2.330568227655902
C15orf59,1.0,2.399141015039349
OR6C65,6.0,3.0131467298985966
GABRE,3.5,2.6404705352145004
IGHA2,2.0,
GRIP2,6.0,
TRAV20,0.0,
AC005863.1,2.0,
SGSM2,3.0,2.4453503073852247
POGZ,3.0,2.9065622863966127
UBE2T,2.0,3.520758493082528
MBD4,3.0,3.4980283272799952
UFD1L,2.0,2.678448905616581
MYL4,2.0,3.4725256244128877
OR52N5,0.5,2.897711048180449
EMX2,1.5,2.2118716395742153
LRRC31,4.0,2.9011916787783525
ROBO3,1.5,2.4282953379301544
TMEM192,3.0,2.7593265385802344
SNAI3,3.0,2.0690131102716363
EFCAB6,3.0,2.892130980985296
KRTAP19-6,2.0,3.238759943027498
RNASE13,3.0,2.617737928137786
CLNK,0.0,3.2252650389706163
AK1,2.0,2.0801453242139045
KIF24,2.0,3.0170027286235173
GTF2A2,2.0,3.051431893638041
ZNF732,2.0,3.406681327389149
ARMC8,9.0,3.2675113548674
KLK14,2.0,2.2823738129094635
CENPJ,6.0,3.441548859707968
PPFIBP2,3.0,2.7586854248469184
ALS2CR12,5.0,3.1535828351005315
NCAPG,4.0,3.4209955336633566
PCGF3,4.0,2.227084080007045
TRIM15,5.0,2.2595526253321823
THOC1,2.0,3.3028161970852516
NXPE1,3.5,3.317794488053555
NT5DC3,5.0,2.6648841182667447
DPY19L4,3.0,4.040943026016903
PDK2,2.0,2.171328815682642
FAM153C,2.0,2.928649615069698
SDR9C7,2.0,2.275072589108721
GDF7,0.0,2.1074911029073435
RIMS3,4.0,2.1713797764621443
ZNF764,4.0,2.3233803956810397
IGKV4-1,3.0,
ARHGEF2,3.0,2.287448449902724
RNGTT,1.0,3.6066489105809736
TNIK,3.0,2.97731445870514
SMG8,13.0,3.2936136466416683
TECRL,2.3333333333333335,3.331256753573664
CTDSPL,2.0,2.4832530621708684
NPAS4,0.7142857142857143,2.4831055314060495
PLEKHA3,3.0,3.7085055922093484
CLIP1,0.75,2.938390650174992
NID1,1.3333333333333333,2.4302398125816893
ZBP1,4.0,2.932943276060744
GSDMB,2.0,2.6012058992763163
MRE11A,2.0,3.8600761514990958
C20orf24,2.0,2.3543458104014916
CHD1L,3.0,2.948672944799657
RRN3P3,2.0,
LRRC3,2.0,1.8669953258253857
ALDH3A2,3.0,2.783276750188318
LMX1B,2.0,2.2045925526844505
IGKV1D-17,1.0,
MAT2A,2.0,3.3262635032115084
AP1G1,7.0,3.148396245507512
CYP51A1,2.0,3.0755448535204195
CSTB,1.0,2.242135968230525
ANKIB1,5.0,3.7049487791486597
SH3BGR,2.0,3.8667788260965934
C8B,3.0,2.9980125847596075
ZNF251,6.0,3.267782118047209
APBA2,1.0,2.357401676860464
RAD54L,3.0,2.554080325690882
ATRIP,5.0,3.5919656501474964
LARS2,2.0,2.7933772961163092
MAP3K2,2.0,3.5138936580508644
KHDRBS2,10.0,3.4173869241588606
TMEM8A,1.0,2.0135920172062063
SFTPD,6.0,2.9615397494735722
TUBE1,4.0,3.2055818071175763
BAG6,0.0,2.721701803982106
KCNJ4,1.5,2.033880731380104
RP1-274L7.1,3.0,
PRPSAP1,2.0,2.5944626430853184
ST6GALNAC2,2.0,2.181146234997537
TRIM59,1.0,4.15386242159003
OR6V1,0.0,2.149286945246255
DLK1,6.0,2.1323106880154823
DOCK4,1.2,2.812524490241186
SH3BGRL2,3.0,2.6422094622170005
PRRC2C,7.0,3.861167454399839
CSH1,5.0,2.253628842908927
TRIP10,5.0,2.6068859720245565
BBS9,1.6666666666666667,3.2561112024032366
BDKRB2,2.0,1.9543493942889467
FTSJ3,4.0,2.734770762287352
FBXO40,1.3333333333333333,2.794968094144407
DNER,3.0,2.615576916470606
FNDC9,1.0,2.5353053651477473
ZNF665,6.0,3.8488185432863244
RP11-834C11.12,2.0,
PRKAG3,3.0,2.2755551680889705
NISCH,5.0,2.171490577507291
SNORD116-18,3.0,
SLC5A3,2.0,2.8432476473386923
L3MBTL1,5.0,2.601979896646465
MS4A10,2.0,2.4176743914704097
PTBP3,2.0,3.3820338811692743
VAMP5,1.0,2.203237835678532
PHLDB3,5.0,2.320040328666862
CENPT,3.0,2.514161143490839
ARID5A,1.0,2.2523907064141158
ARR3,4.0,2.299764920842902
ETFDH,3.0,3.7861500262029106
ZNF611,1.5,2.923935817893712
AC004702.2,2.0,
ZNF664,4.0,3.492554648911439
PON1,4.0,2.992800638067897
CHN1,2.0,3.0795880309829142
ZC4H2,5.0,2.778484405403596
IL4R,7.0,2.521970348282412
FAM53A,3.0,2.2527397335358024
PDZD8,9.0,2.826746485864958
TBX5,2.0,2.6535058826965594
LTV1,2.0,3.6980626714954012
DNAJC7,0.0,3.232958654564341
PPP1R3F,0.5,2.4240735082266824
AC003002.6,1.0,
LST1,2.0,2.7346381673238906
ZNF213,4.0,2.360059732078762
CD40LG,3.0,2.96090770243809
SLC18B1,3.0,3.1549512559786588
TMEM178A,0.5,2.12402925251421
TFAP2C,2.0,2.342046483019494
FMR1,2.0,3.6621491867928575
HEY2,0.6666666666666666,2.640719224142431
SLC17A4,4.0,2.770893235862106
SLC16A3,2.0,1.8393381728955738
WDR48,4.0,3.507768714462401
RBM5,7.0,3.12352133985498
CTDP1,0.0,2.352780967375937
USP13,3.0,3.0332544675561763
ADORA3,3.0,2.2968631887644686
EDA2R,0.0,2.7124564889274043
MTFR1,3.0,3.95817839143685
ATP6V0D2,2.0,2.822848451964544
LCA5L,4.0,3.588036030116888
SLC9A8,1.0,2.3381156666142684
IGHV1-69,1.0,
FMNL2,4.0,2.970883250040849
C11orf31,2.0,2.1396006833846086
MAGED2,2.0,2.719393926970246
METTL10,0.0,3.0621384154987465
DSC2,7.0,3.302159278889173
CHD1,8.0,3.981676667040707
SPTLC3,5.0,3.0575997268631827
INIP,2.0,4.036552957290426
ST3GAL3,2.0,2.833496578054074
CHRDL1,1.0,3.133409956783212
F10,2.0,2.412030246918535
GINS4,0.0,2.691904799954554
TSGA13,2.0,2.714431840251399
